current_time,view_duration (ms),faces_count,new_faces_count,male_count,female_count,interest (max 1.0)
2013-11-17.23:37:36,144,1,1,1,0,0
2013-11-17.23:37:36,167,1,0,1,0,0.5
2013-11-17.23:37:49,152,1,1,1,0,0.995763
2013-11-17.23:37:51,149,1,1,1,0,0.144068
2013-11-17.23:37:55,127,1,1,1,0,0.194915
2013-11-17.23:37:55,148,1,1,1,0,0.0677966
2013-11-17.23:37:56,119,1,1,1,0,0.059322
2013-11-17.23:37:58,174,1,1,1,0,0.186441
2013-11-17.23:37:58,114,1,0,1,0,0.20339
2013-11-17.23:37:58,130,1,0,1,0,0.199153
2013-11-17.23:37:59,142,1,1,1,0,0.0635593
2013-11-17.23:40:26,79,1,1,1,0,0
2013-11-17.23:40:27,157,1,0,1,0,0
2013-11-17.23:40:27,170,1,0,1,0,0.833333
2013-11-17.23:40:27,103,1,0,1,0,0.857143
2013-11-17.23:40:27,170,1,0,1,0,0.9
2013-11-17.23:40:28,156,1,0,1,0,0.3
2013-11-17.23:40:29,134,1,0,1,0,0.2
2013-11-17.23:40:29,154,1,0,1,0,0
2013-11-17.23:40:29,117,1,0,1,0,0.5
2013-11-17.23:40:30,154,1,0,1,0,0.3
2013-11-17.23:40:30,163,1,0,1,0,0.916667
2013-11-17.23:40:30,129,1,0,1,0,0.583333
2013-11-17.23:40:30,136,1,0,1,0,0.923077
2013-11-17.23:40:30,176,1,0,1,0,0.153846
2013-11-17.23:40:33,152,1,0,1,0,0.230769
2013-11-17.23:40:34,135,1,0,1,0,0
2013-11-17.23:40:35,137,1,0,1,0,0
2013-11-17.23:41:15,145,1,1,1,0,0
2013-11-17.23:41:16,152,1,0,1,0,0.954545
2013-11-17.23:41:16,141,1,0,1,0,0.636364
2013-11-17.23:41:16,129,1,0,1,0,0.681818
2013-11-17.23:41:16,151,1,0,1,0,0.454545
2013-11-17.23:41:16,135,1,0,1,0,0.818182
2013-11-17.23:41:16,182,1,0,1,0,0.318182
2013-11-17.23:41:17,114,1,0,1,0,0.545455
2013-11-17.23:41:17,138,1,0,1,0,0.545455
2013-11-17.23:41:17,175,1,0,1,0,0.681818
2013-11-17.23:41:17,110,1,0,1,0,0.0454545
2013-11-17.23:41:17,146,1,0,1,0,0.0454545
2013-11-17.23:41:18,138,1,1,1,0,0.227273
2013-11-17.23:41:18,162,1,0,1,0,0.409091
2013-11-17.23:41:18,111,1,0,1,0,0.181818
2013-11-17.23:41:21,156,1,1,0,1,0
2013-11-17.23:41:23,171,1,1,1,0,0
2013-11-17.23:41:23,104,1,0,1,0,0
2013-11-17.23:41:24,155,1,0,1,0,0
2013-11-17.23:41:24,127,1,1,1,0,0
2013-11-17.23:41:24,137,1,0,1,0,0
2013-11-17.23:41:24,135,1,1,0,1,0
2013-11-17.23:41:24,172,2,2,1,1,0
2013-11-17.23:41:25,111,2,1,2,0,0
2013-11-17.23:41:25,125,2,0,2,0,0
2013-11-17.23:41:25,138,2,0,2,0,0
2013-11-17.23:41:25,160,2,0,2,0,0
2013-11-17.23:41:25,132,3,1,2,1,0
2013-11-17.23:41:25,136,2,0,2,0,0
2013-11-17.23:41:26,158,3,1,2,1,0
2013-11-17.23:41:26,133,3,0,2,1,0
2013-11-17.23:41:26,149,2,0,2,0,0
2013-11-17.23:41:26,133,2,0,2,0,0
2013-11-17.23:41:26,153,2,0,2,0,0
2013-11-17.23:41:26,156,2,0,2,0,0
2013-11-17.23:41:27,135,2,0,2,0,0
2013-11-17.23:41:27,113,2,0,2,0,0
2013-11-17.23:41:27,149,2,0,2,0,0
2013-11-17.23:41:27,154,1,0,1,0,0
2013-11-17.23:41:27,141,2,1,2,0,0
2013-11-17.23:41:27,151,2,1,2,0,0
2013-11-17.23:41:28,138,2,0,2,0,0
2013-11-17.23:41:28,140,2,0,2,0,0
2013-11-17.23:41:28,141,2,0,2,0,0
2013-11-17.23:41:28,148,2,0,2,0,0
2013-11-17.23:41:28,135,2,0,2,0,0
2013-11-17.23:41:28,177,2,0,2,0,0
2013-11-17.23:41:29,110,2,0,2,0,0.0227273
2013-11-17.23:41:29,155,2,0,2,0,0
2013-11-17.23:41:29,136,2,0,2,0,0
2013-11-17.23:41:29,139,2,0,2,0,0
2013-11-17.23:41:29,162,2,0,2,0,0
2013-11-17.23:41:29,115,2,0,2,0,0
2013-11-17.23:41:30,154,3,2,3,0,0.0454545
2013-11-17.23:41:30,137,2,1,2,0,0
2013-11-17.23:41:30,162,2,0,2,0,0.0227273
2013-11-17.23:41:30,128,1,0,1,0,0
2013-11-17.23:41:30,134,1,1,1,0,0
2013-11-17.23:41:30,172,1,1,1,0,0
2013-11-17.23:41:31,109,1,1,1,0,0
2013-11-17.23:41:31,149,1,0,1,0,0
2013-11-17.23:41:31,117,1,1,1,0,0
2013-11-17.23:41:32,152,2,1,2,0,0
2013-11-17.23:41:32,142,2,0,2,0,0
2013-11-17.23:41:32,126,1,0,1,0,0
2013-11-17.23:41:32,173,2,2,2,0,0
